id,titulo,severidad,dominio,tipo,estado_historico,fuente_normativa,evidencia_primaria,impacto_tecnico,impacto_academico,confianza,decision_propuesta,dependencias,criterio_cierre,estado_disputa,evidencia_nivel,causa_raiz,contraevidencia
F-011,Métricas control_effort_heuristic y alias sin deprecación fuerte,P2,A06,contrato,persiste,docs/simulador/guia_uso.md:163-164; docs/simulador/trazabilidad.md:57,src/simulador_quad/metrics/report.py:66-71,Mezcla N y Nm persiste en export JSON,Riesgo de uso indebido en tablas memoria,alta,Marcar alias como deprecated en JSON o eliminar en versión memoria,BL-13,Memoria y tablas usan solo collective_thrust_* y body_moment_norm_*,,verificacion,Compatibilidad legacy mantenida,guia_uso.md advierte no usar como métrica física principal
F-012,Entrenamiento neuronal con semilla única por defecto,P2,A08,evidencia,persiste,docs/03_criterios_ingenieria_software.md §reproducibilidad,tools/train_neural_controller.py:29 (default 42); data/neural_control/outer_force_mlp_min_v1/config.yaml:13,Sin repetición multi-semilla documentada,Incertidumbre de selección arquitectural no cuantificada,media,Documentar semilla única como limitación o ejecutar ≥2 semillas en arquitectura principal,BL-14,config.yaml y memoria declaran semillas ejecutadas y criterio de selección,,reproducibilidad,Coste computacional limita repeticiones,seed registrado en config; reproducible pero no intervalo
F-013,Filas Parcial en trazabilidad sin plan de cierre fechado,P2,A13,documentacion,persiste,docs/simulador/trazabilidad.md:54-62,docs/simulador/trazabilidad.md:20; :23; :26; :27 (estado Parcial),Requisitos marcados parcial sin criterio/fecha,Auditor no sabe qué falta para «Implementado»,media,Añadir subsección cierre con fecha objetivo y verificación por fila Parcial,BL-15,Cada fila Parcial tiene criterio verificable y fecha o pasa a Implementado,,documentacion,Matriz útil pero gestión de deuda incompleta,Implementación existe; falta validación documentada
F-014,rmse_std en tablas LaTeX no es incertidumbre experimental,P2,A10,documentacion,nuevo,tools/summarize_comparison.py:338-376,tools/summarize_comparison.py:342 (std entre escenarios); :376 (formato ± en LaTeX),Dispersión entre escenarios presentada como ±,Riesgo de sobreinterpretación estadística en memoria,alta,Etiquetar como desviación entre escenarios o usar repetición por semilla,BL-16,Tablas LaTeX distinguen «dispersión entre escenarios» de IC experimental,,inferencia,Agregación conveniente sin diseño de repeticiones,Agregación útil para exploración; no sustituye CI
F-015,Auditoría junio 2026 con hallazgos P0 obsoletos respecto a evidencia local,P2,A13,documentacion,persiste,docs/reviews/README.md:7-11,docs/reviews/auditoria_integral_tfg_2026-06.md:47-53 (P0-1..P0-3); data/outer_force_dataset/v1 y data/neural_control/outer_force_* existen localmente,Diagnóstico histórico puede contradecir estado junio tardío,Lectura errónea de aptitud si no se contrasta,alta,Añadir errata o priorizar este informe 2026-06-10 en README reviews,BL-17,README reviews cita auditoria_integral_tfg_2026-06-10 como vigente con delta explícito,,documentacion,Informe jun-02 generado sin inspeccionar evidencia local regenerada,README.md:20-26 ya matiza evidencia pendiente
F-016,Auditorías mayo sin etiquetado histórico individual uniforme,P2,A13,documentacion,persiste,SPEC.md §12.1; docs/reviews/README.md,docs/reviews/auditoria_fisica_modelado_6dof.md:1 (sin banner histórico); docs/reviews/README.md:9-18 sí etiqueta,Archivos mayo parecen vigentes al abrirlos solos,Riesgo de aplicar findings cerrados,media,Añadir banner «histórico 2026-05-04» en cabecera de cada auditoria_* mayo,BL-18,Cada review mayo tiene etiqueta de fecha y enlace a diagnóstico vigente,,documentacion,Índice README correcto pero ficheros individuales no,docs/reviews/README.md mitiga parcialmente
F-017,Escenarios manuales con límites de actitud excesivamente permisivos,P2,A05,contrato,persiste,docs/simulador/validacion.md:64-71,scenarios/circle_drag.yaml:43 (max_attitude_angle_rad: 3.14); scenarios/circle_noisy_wind.yaml:45,Evidencia de estabilidad débil si se usan como oficiales,Conclusiones de robustez infladas,media,Documentar como demos o endurecer límites en escenarios citados en memoria,BL-19,Escenarios memoria usan umbrales coherentes con validacion.md o se etiquetan como no oficiales,,validacion,Escenarios de demostración con límites amplios,hover_clean.yaml:41 usa 1.256 rad acorde a dataset
F-018,Plotly sin justificación en documentos normativos,P3,A13,documentacion,persiste,docs/03_criterios_ingenieria_software.md,pyproject.toml:14; docs/01_principios_tfg.md (sin mención plotly); docs/simulador/arquitectura.md:42,Dependencia adicional no normada,Menor rigor en justificación de stack,alta,Añadir párrafo en arquitectura o 03_criterios sobre visualización 3D opcional,BL-20,Normativa o arquitectura justifica Plotly como postproceso no runtime,,documentacion,Dependencia añadida solo en guía viva,Funcionalidad aislada en visualization/
F-019,requires-python >=3.13 reduce portabilidad,P3,A01,documentacion,persiste,docs/03_criterios_ingenieria_software.md,pyproject.toml:9 (requires-python = ">=3.13"),Tribunal/equipos con 3.11-3.12 no pueden uv sync sin ajuste,Fricción reproducibilidad externa,media,Documentar requisito o verificar si 3.11 es viable,BL-21,README declara versión Python mínima y motivo,,reproducibilidad,Elección uv moderna,uv.lock existe; entorno local funciona
F-020,pytest en dependencias principales no dev group,P3,A01,documentacion,persiste,docs/03_criterios_ingenieria_software.md,pyproject.toml:15 (pytest en dependencies),Entorno «producción» incluye test runner,Separación dev/prod académica imperfecta,baja,Mover pytest a dependency-group dev en pyproject,BL-22,pytest solo en grupo dev documentado en README,,verificacion,Plantilla uv por defecto,No afecta conclusiones científicas
F-021,Transiciones composite basadas en referencia no en estado del vehículo,P3,A05,fisica,persiste,docs/simulador/trazabilidad.md:30,src/simulador_quad/trajectories/composite.py:148-174 (ref_last vs ref_next_start; LineTrajectory entre referencias),Transición no exige asentamiento del estado real,OOD composite puede iniciar tramos con error de posición/velocidad,media,Documentar limitación o añadir criterio de proximidad estado-referencia antes de transición,BL-23,validacion.md declara limitación composite o test valida comportamiento esperado,,validacion,Diseño deliberado v1: transición cinemática entre referencias,tests/test_composite_trajectory.py valida contrato implementado
